v,i,p,s,q,pf,ih3,ih5,ih7,ih9,ih11,ih13,ih15,ih17,ih19,ih21,ih23,ih25,ih27,ih29,ithd,vh3,vh5,vh7,vh9,vh11,vh13,vh15,vh17,vh19,vh21,vh23,vh25,vh27,vh29,vthd,filename,device,device name,voltagerange,Status,devicenumber,State,Type
218.9,0.323,15.6,70.9,17.1,0.221,0.2,2,1.3,0.8,1.1,0.4,0.8,0.7,0.2,0.1,0.6,0.4,0.4,0.1,3.2,112.7,106,95.7,88,76.5,61.3,50.8,31.3,15.5,15.4,16.5,16.1,13.8,10.5,236.8,l4dslV220.csv,Laptop,l4 lenovo i5 e430,V220,sl,14,4,2
218.8,0.322,15.7,70.6,17,0.223,0.3,2,1.5,0.9,1.1,0.7,0.9,1.1,0,0.1,0.5,0.6,0,0.2,3.6,118.5,110,102.5,103.5,95,81.2,76,66.2,50.2,46.3,43.2,33.8,24.8,19.1,286.3,l4dslV220.csv,Laptop,l4 lenovo i5 e430,V220,sl,14,4,2
218.8,0.322,15.7,70.5,17,0.223,0.1,2,1.1,0.9,1.1,0.5,0.7,0.7,0.3,0.2,0.4,0.7,0.2,0.1,3.2,112.7,105.2,93.5,82.7,69.2,53.1,42.2,29.6,25.6,16.3,12.5,10,7.5,5.7,225.8,l4dslV220.csv,Laptop,l4 lenovo i5 e430,V220,sl,14,4,2
218.8,0.321,15.6,70.3,17,0.223,0.4,2.7,0.5,0.3,1.3,1.3,0.6,0.2,0.2,0.2,0.5,0.4,0.6,0.2,3.7,118.7,114.2,107.2,93.7,86.2,67.9,56.3,39.2,30.6,18.3,11.9,10.6,9.6,5.9,256.8,l4dslV220.csv,Laptop,l4 lenovo i5 e430,V220,sl,14,4,2
218.9,0.32,15.5,70.1,16.9,0.221,0.1,2,1.1,0.8,1.1,0.4,0.7,0.5,0.2,0,0.5,0.3,0.2,0.1,3.1,114.5,108.9,103.7,90.5,81,61.3,49.6,31.1,23.8,16.6,11.1,10,12.3,16,243.4,l4dslV220.csv,Laptop,l4 lenovo i5 e430,V220,sl,14,4,2
218.9,0.319,15.5,69.9,16.9,0.223,0.1,2.2,1.6,1,1.3,0.5,0.9,0.9,0.4,0.4,0.4,0.6,0.2,0.1,3.7,115.2,110,97.7,94,77.2,59.7,48.2,38.8,27.5,18.3,11.3,10,7,12,242.4,l4dslV220.csv,Laptop,l4 lenovo i5 e430,V220,sl,14,4,2
218.9,0.319,15.4,69.8,16.8,0.222,0.3,2.2,1.3,0.9,1.1,0.6,1,0.8,0.4,0.4,0.5,0.6,0.2,0.1,3.6,116,109.9,96.5,90.7,80.7,60.1,50.7,38.7,29.6,21,17.6,10.9,7.4,7,243.3,l4dslV220.csv,Laptop,l4 lenovo i5 e430,V220,sl,14,4,2
218.7,0.319,15.4,69.7,16.8,0.221,0.2,2.7,0.5,0.3,0.9,1.1,0.8,0.1,0.5,0,0.5,0.5,0.5,0.3,3.6,108.2,103.2,96.4,91.7,80.2,64.5,55.2,41,35.1,29.1,23.6,15.5,14.8,9.1,242.3,l4dslV220.csv,Laptop,l4 lenovo i5 e430,V220,sl,14,4,2
218.7,0.318,15.4,69.7,16.8,0.222,0.2,2.2,1.3,1.1,1,0.5,0.7,0.6,0.3,0.3,0.5,0.5,0.1,0,3.5,115.5,113.2,98,95.5,79.5,64,53,44.2,30.6,21.8,17.1,14.8,10,3.7,249.5,l4dslV220.csv,Laptop,l4 lenovo i5 e430,V220,sl,14,4,2
218.6,0.318,15.3,69.5,16.8,0.221,0.1,2,1.1,0.8,1.3,0.5,0.6,0.5,0.2,0,0.7,0.4,0.2,0.1,3.2,111.7,110.7,106.2,91.5,87.2,71,59,44,35,27.5,14.3,10.1,9.5,7.2,254.9,l4dslV220.csv,Laptop,l4 lenovo i5 e430,V220,sl,14,4,2
218.6,0.316,15.2,69.2,16.8,0.221,0.2,2,1.1,0.8,1.1,0.5,0.7,0.7,0.2,0.2,0.5,0.7,0,0.4,3.1,116.2,107,88.7,79,56.2,34.2,21,9.9,13.3,15.9,16.8,11.4,10.9,10,212.4,l4dslV220.csv,Laptop,l4 lenovo i5 e430,V220,sl,14,4,2
220.3,0.314,15.3,69.1,16.7,0.222,0.2,2.9,0.4,0.3,1.1,1.3,0.8,0.1,0.4,0.1,0.4,0.4,0.6,0.4,3.7,112.2,111.5,97.5,83,70.7,54.8,40.2,34.1,23.8,20.8,17.3,17.6,18.1,17.6,233.5,l4dslV220.csv,Laptop,l4 lenovo i5 e430,V220,sl,14,4,2
